,Year,home_team,home_gdp,home_population,home_oddset,home_fifa_rank,home_host,away_team,away_gdp,away_population,away_oddset,away_fifa_rank,away_host,home_goal,away_goal,win_point,result
67,1978,TUN,10823,1182,35000,26,0,MEX,18445,12894,15000,11,0,3,1,2,1
68,1978,ARG,20771,4520,900,8,1,HUN,33078,967,200000,37,0,2,1,1,1
69,1978,SWE,55038,1010,200000,18,0,BRA,14836,21256,450,3,0,1,1,0,0
70,1978,AUT,55684,901,200000,23,0,ESP,37766,4676,800,6,0,2,1,1,1
71,1978,ITA,41829,6047,200000,7,0,HUN,33078,967,200000,37,0,3,1,2,1
72,1978,POL,34241,3785,12500,21,0,TUN,10823,1182,35000,26,0,1,0,1,1
73,1978,ARG,20771,4520,900,8,1,FRA,46984,6528,550,2,0,2,1,1,1
74,1978,BRA,14836,21256,450,3,0,ESP,37766,4676,800,6,0,0,0,0,0
75,1978,AUT,55684,901,200000,23,0,SWE,55038,1010,200000,18,0,1,0,1,1
76,1978,FRA,46984,6528,550,2,0,HUN,33078,967,200000,37,0,3,1,2,1
77,1978,POL,34241,3785,12500,21,0,MEX,18445,12894,15000,11,0,3,1,2,1
78,1978,ITA,41829,6047,200000,7,0,ARG,20771,4520,900,8,1,1,0,1,1
79,1978,BRA,14836,21256,450,3,0,AUT,55684,901,200000,23,0,1,0,1,1
80,1978,ESP,37766,4676,800,6,0,SWE,55038,1010,200000,18,0,1,0,1,1
81,1978,PER,11879,3298,20000,27,0,IRN,13339,8400,50000,31,0,4,1,3,1
82,1978,BRA,14836,21256,450,3,0,PER,11879,3298,20000,27,0,3,0,3,1
83,1978,ARG,20771,4520,900,8,1,POL,34241,3785,12500,21,0,2,0,2,1
84,1978,POL,34241,3785,12500,21,0,PER,11879,3298,20000,27,0,1,0,1,1
85,1978,ITA,41829,6047,200000,7,0,AUT,55684,901,200000,23,0,1,0,1,1
86,1978,ARG,20771,4520,900,8,1,BRA,14836,21256,450,3,0,0,0,0,0
87,1978,BRA,14836,21256,450,3,0,POL,34241,3785,12500,21,0,3,1,2,1
88,1978,ARG,20771,4520,900,8,1,PER,11879,3298,20000,27,0,6,0,6,1
89,1978,BRA,14836,21256,450,3,0,ITA,41829,6047,200000,7,0,2,1,1,1
90,1982,ARG,20771,4520,900,8,0,BEL,53035,1159,1200,1,0,0,1,-1,-1
91,1982,ITA,41829,6047,200000,7,0,POL,34241,3785,12500,21,0,0,0,0,0
92,1982,PER,11879,3298,20000,27,0,CMR,3868,2655,20000,55,0,0,0,0,0
93,1982,HUN,33078,967,200000,37,0,SLV,8421,649,200000,69,0,10,1,9,1
94,1982,ITA,41829,6047,200000,7,0,PER,11879,3298,20000,27,0,1,1,0,0
95,1982,ARG,20771,4520,900,8,0,HUN,33078,967,200000,37,0,4,1,3,1
96,1982,POL,34241,3785,12500,21,0,CMR,3868,2655,20000,55,0,0,0,0,0
97,1982,BEL,53035,1159,1200,1,0,SLV,8421,649,200000,69,0,1,0,1,1
98,1982,POL,34241,3785,12500,21,0,PER,11879,3298,20000,27,0,5,1,4,1
99,1982,BEL,53035,1159,1200,1,0,HUN,33078,967,200000,37,0,1,1,0,0
